cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_0480,Aprepitant,unclear,24,1.9130542376099766,0.053429499143810344,126,2.9359359129609066,0.6515994539133695,Procainamide (hydrochloride),2.5197349212569784,0.8582390746791924,0.9826086956521739
CVCL_0480,Artesunate,JAK/STAT inhibitor,9,3.1570328825966096,0.09403550943910344,151,5.267232944211541,0.599372178150209,Procainamide (hydrochloride),4.437184433375006,0.8424127963148618,0.06086956521739131
CVCL_0480,Ataluren,unclear,23,1.7291602364292404,0.043070338510163064,97,3.0240868031412598,0.5717958342442688,Procainamide (hydrochloride),2.483211185265878,0.8211441492639864,0.9130434782608695
CVCL_0480,Azithromycin (hydrate),unclear,10,2.572551809922504,0.09365984738749245,243,4.6242632372889,0.5563160395321121,Procainamide (hydrochloride),3.548813202411972,0.7674332148298202,0.33043478260869563
CVCL_0480,Baicalin,unclear,18,2.559123018000504,0.06448452917682024,113,3.7546490472390586,0.6815878090875971,Procainamide (hydrochloride),3.3319502733881285,0.8874198976967616,0.7739130434782608
CVCL_0480,Benztropine (mesylate),unclear,21,1.8411351883786642,0.051727021169643894,152,3.719199527375253,0.4950353361864419,ULK-101,2.922202478128938,0.7857073697229741,0.4956521739130435
CVCL_0480,Berbamine,unclear,15,2.351563905194926,0.06421507420420469,122,4.179783352564536,0.5626042564507816,Procainamide (hydrochloride),3.339781639965199,0.7990322364234624,0.34782608695652173
CVCL_0480,Berbamine (dihydrochloride),unclear,21,2.0119314636000674,0.05085847968995927,81,3.2853354684354934,0.6123975718553233,Procainamide (hydrochloride),2.906851357763345,0.884795901572759,0.8347826086956521
CVCL_0480,Berberine (chloride hydrate),unclear,19,2.21041057302243,0.044137305314840836,90,3.842978048247163,0.5751816807880622,Procainamide (hydrochloride),3.2067590501917245,0.8344463616320611,0.41739130434782606
CVCL_0480,Bergenin,unclear,22,1.7766699852409225,0.04781845654566952,118,3.195493073415512,0.5559924382317386,Procainamide (hydrochloride),2.6911308762960924,0.8421645156062472,0.8695652173913043
CVCL_0480,Budesonide,Glucocorticoid receptor agonist,17,2.226283243367709,0.067085280777615,124,3.6340514641760584,0.6126174230921273,Procainamide (hydrochloride),2.9946477341448805,0.8240520982340714,0.7130434782608696
CVCL_0480,Busulfan,DNA synthesis/repair inhibitor,19,2.0563045387456826,0.06507137211423686,140,3.468989242042089,0.5927676320884749,Procainamide (hydrochloride),2.925913526248721,0.8434484289511155,0.7043478260869566
CVCL_0480,Cabozantinib (S-malate),Multi-TK inhibitor,19,2.0114298057851596,0.056642893190852805,117,3.710440098300485,0.5421000615820389,Procainamide (hydrochloride),2.8892956496931124,0.7786935169810486,0.5652173913043478
CVCL_0480,Canagliflozin,Glucose transporter inhibitor,24,2.2225616412775593,0.07465112130146967,167,3.230948745703315,0.6878975236711008,ULK-101,2.94578247601047,0.9117391539955334,0.8347826086956521
CVCL_0480,Canagliflozin (hemihydrate),Glucose transporter inhibitor,17,2.2150832475791162,0.07563399213287703,164,3.7284372700414945,0.5941050062388374,Acetazolamide,3.047356962570055,0.8173282106838666,0.6347826086956522
CVCL_0480,Carbamazepine,HDAC inhibitor,26,1.8238106082154084,0.045815549854338666,91,3.1199613062224345,0.5845619317707594,Procainamide (hydrochloride),2.5174672392951227,0.8068905323518915,0.9217391304347826
CVCL_0480,Cepharanthine,unclear,14,2.3421830465823033,0.08023911819033092,170,4.094556050343625,0.5720236865204816,Procainamide (hydrochloride),3.501257917526029,0.8551007421750143,0.391304347826087
CVCL_0480,Chlorhexidine (diacetate),unclear,25,1.8544091211206482,0.05132775862936001,98,2.9968346988391352,0.6187892584929622,Procainamide (hydrochloride),2.6640466705265924,0.888953492015608,0.8782608695652174
CVCL_0480,Ciclopirox,unclear,21,2.1171016881661777,0.06822726329288509,168,3.3410221979175243,0.6336688482602054,Pentamidine (isethionate),2.8763581968969394,0.860921606174837,0.8260869565217391
CVCL_0480,Citalopram (hydrobromide),unclear,18,2.149335048785388,0.06996633545232411,137,3.692918373301413,0.5820153145881518,Procainamide (hydrochloride),3.112326428879172,0.8427823510479598,0.6
CVCL_0480,Clonidine (hydrochloride),Adrenoceptor agonist,10,2.671222119369642,0.08276063189612759,186,4.9235401521282185,0.5425409434743812,Procainamide (hydrochloride),3.6375329579575943,0.7388043654696829,0.22608695652173913
CVCL_0480,Clotrimazole,unclear,11,2.513981110194181,0.07940354476684541,162,4.83825997790285,0.5196043870474008,Procainamide (hydrochloride),3.6315250511734556,0.7505849350302057,0.13043478260869565
CVCL_0480,Cysteamine (hydrochloride),unclear,18,2.0458063212807884,0.06374390613810821,139,3.7551345451033753,0.544802402339613,Procainamide (hydrochloride),2.908600103456403,0.7745661489677281,0.591304347826087
CVCL_0480,DTP3,unclear,21,2.598271164613977,0.04741361047384174,95,3.4532971418553484,0.7524030101904313,Procainamide (hydrochloride),3.1588817787644214,0.9147436924779816,0.9652173913043478
