cell_line,plate,drug,moa,n_cells,effect,perm_p,significant,n_deg,snr,ceiling_nir,identifiable,isolation,redundant,nn_drug
CVCL_1547,plate4,Terfenadine,unclear,31,,,False,,,0.0,False,0.9065519259618368,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_1547,plate4,Aliskiren,unclear,30,,,False,,,0.4,False,0.9479551675133266,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_1547,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,42,,,False,,,1.0,True,1.075765703025886,False,Tolcapone
CVCL_1547,plate4,Ritonavir,unclear,31,,,False,,,0.2,False,0.9440553243957912,True,Quinestrol
CVCL_1717,plate4,Quinestrol,unclear,40,,,False,,,1.0,True,1.0254736839061385,False,Aliskiren
CVCL_1717,plate4,Gemfibrozil,unclear,34,,,False,,,0.42857142857142855,False,0.9046082480685157,True,Quinestrol
CVCL_1717,plate4,Tolcapone,unclear,30,,,False,,,0.2857142857142857,False,0.9451601713363325,True,Quinestrol
CVCL_1717,plate4,Terfenadine,unclear,38,,,False,,,0.42857142857142855,False,0.954617338627067,True,Idarubicin (hydrochloride)
CVCL_1717,plate4,Aliskiren,unclear,38,,,False,,,0.8571428571428571,True,0.9736805245993485,True,Idarubicin (hydrochloride)
CVCL_1717,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,32,,,False,,,1.0,True,0.9513983930493618,True,Aliskiren
CVCL_1717,plate4,Elagolix sodium,unclear,35,,,False,,,0.14285714285714285,False,0.9001320035213423,True,Quinestrol
CVCL_1717,plate4,Tofacitinib (citrate),JAK/STAT inhibitor,31,,,False,,,0.0,False,0.9230665485926441,True,Quinestrol
CVCL_1381,plate4,Quinestrol,unclear,35,,,False,,,0.75,False,0.9420825700789289,True,Aliskiren
CVCL_1381,plate4,Trimetrexate,DNA synthesis/repair inhibitor,35,,,False,,,1.0,True,1.0024213877241261,False,Terfenadine
CVCL_1381,plate4,Terfenadine,unclear,40,,,False,,,1.0,True,1.007421847022069,False,Aliskiren
CVCL_1381,plate4,Aliskiren,unclear,44,,,False,,,1.0,True,1.114435621100397,False,Quinestrol
CVCL_1381,plate4,Elagolix sodium,unclear,36,,,False,,,0.75,False,0.9933515591614493,True,Aliskiren
CVCL_0359,plate4,Quinestrol,unclear,39,,,False,,,0.9285714285714286,True,0.9403010202466847,True,Tolcapone
CVCL_0359,plate4,Trimetrexate,DNA synthesis/repair inhibitor,30,,,False,,,0.5714285714285714,False,0.8996427708327335,True,Tolcapone
CVCL_0359,plate4,Tolcapone,unclear,53,,,False,,,1.0,True,1.0798824810351348,False,Quinestrol
CVCL_0359,plate4,Terfenadine,unclear,46,,,False,,,0.9285714285714286,True,1.0124961199446978,False,Tolcapone
CVCL_0359,plate4,Aliskiren,unclear,46,,,False,,,0.9285714285714286,True,0.9582066419328865,True,Tolcapone
CVCL_0359,plate4,Fluvoxamine (maleate),unclear,34,,,False,,,0.42857142857142855,False,0.8838920730252462,True,Tolcapone
CVCL_0359,plate4,Elagolix sodium,unclear,36,,,False,,,0.7857142857142857,False,0.9424900755776213,True,Tolcapone
CVCL_0359,plate4,Rapamycin,MTOR inhibitor,31,,,False,,,0.7142857142857143,False,1.028868765672627,False,Tolcapone
CVCL_0359,plate4,Darinaparsin,unclear,30,,,False,,,0.14285714285714285,False,0.8742894086446131,True,Tolcapone
CVCL_0359,plate4,Ritonavir,unclear,30,,,False,,,0.14285714285714285,False,0.8688466220684774,True,Tolcapone
CVCL_0359,plate4,Adenosine,unclear,34,,,False,,,0.5714285714285714,False,0.9386233393075044,True,Tolcapone
CVCL_0359,plate4,Sulfisoxazole,unclear,36,,,False,,,0.7142857142857143,False,0.9446073582454991,True,Tolcapone
CVCL_0359,plate4,Larotrectinib,Other TK inhibitor,30,,,False,,,0.42857142857142855,False,0.8678793402329198,True,Tolcapone
CVCL_0359,plate4,(R)-Verapamil (hydrochloride),unclear,35,,,False,,,0.7857142857142857,False,0.9175553413542515,True,Tolcapone
CVCL_0359,plate4,Temsirolimus,MTOR inhibitor,32,,,False,,,0.2857142857142857,False,0.894533985730472,True,Tolcapone
CVCL_0546,plate4,Quinestrol,unclear,120,,,False,,,1.0,True,1.0330769089540455,False,Aliskiren
CVCL_0546,plate4,Tofacitinib,JAK/STAT inhibitor,74,,,False,,,0.9047619047619048,True,0.9236933989650616,True,Quinestrol
CVCL_0546,plate4,Trimetrexate,DNA synthesis/repair inhibitor,57,,,False,,,0.6666666666666666,False,0.8738486914225048,True,Terfenadine
CVCL_0546,plate4,Gemfibrozil,unclear,72,,,False,,,0.8253968253968254,True,0.8745575852311452,True,Terfenadine
CVCL_0546,plate4,18β-Glycyrrhetinic acid,unclear,55,,,False,,,0.6031746031746031,False,0.8710828381174855,True,Tolcapone
CVCL_0546,plate4,Tolcapone,unclear,95,,,False,,,0.9523809523809523,True,0.9617618624363758,True,Terfenadine
CVCL_0546,plate4,Terfenadine,unclear,112,,,False,,,1.0,True,1.0907183373780047,False,Quinestrol
CVCL_0546,plate4,Aliskiren,unclear,120,,,False,,,1.0,True,0.9852960293417347,True,Quinestrol
CVCL_0546,plate4,Fluvoxamine (maleate),unclear,70,,,False,,,0.9365079365079365,True,0.9681168767287218,True,Quinestrol
CVCL_0546,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,86,,,False,,,0.9523809523809523,True,0.9753810256643723,True,Tolcapone
CVCL_0546,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,74,,,False,,,0.8412698412698413,True,0.9754025500512307,True,Aliskiren
CVCL_0546,plate4,Elagolix sodium,unclear,65,,,False,,,0.8571428571428571,True,0.9359685178899966,True,Tolcapone
CVCL_0546,plate4,Resveratrol,unclear,46,,,False,,,0.3968253968253968,False,0.8167943766067639,True,Terfenadine
CVCL_0546,plate4,Rapamycin,MTOR inhibitor,59,,,False,,,0.6666666666666666,False,0.8025146830670982,True,Quinestrol
CVCL_0546,plate4,Saquinavir,unclear,51,,,False,,,0.8412698412698413,True,0.9079737802798408,True,Quinestrol
CVCL_0546,plate4,Tofacitinib (citrate),JAK/STAT inhibitor,69,,,False,,,0.9682539682539683,True,0.8721403106292741,True,Quinestrol
CVCL_0546,plate4,Thymol,unclear,49,,,False,,,0.6031746031746031,False,0.9042473715277203,True,Terfenadine
CVCL_0546,plate4,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,73,,,False,,,0.9047619047619048,True,0.9047967718372479,True,Quinestrol
CVCL_0546,plate4,Darinaparsin,unclear,66,,,False,,,0.9206349206349206,True,0.8913290498275597,True,Tolcapone
CVCL_0546,plate4,Vilanterol,Adrenoceptor agonist,43,,,False,,,0.6507936507936508,False,0.8886931377483476,True,Aliskiren
CVCL_0546,plate4,Lenalidomide (hemihydrate),unclear,62,,,False,,,0.8412698412698413,True,0.8775019946127762,True,Quinestrol
CVCL_0546,plate4,Azithromycin (hydrate),unclear,74,,,False,,,0.9365079365079365,True,0.9402555309978793,True,Quinestrol
CVCL_0546,plate4,Ritonavir,unclear,75,,,False,,,0.9365079365079365,True,0.9747278670125329,True,Tolcapone
CVCL_0546,plate4,Pentamidine (isethionate),unclear,79,,,False,,,0.9047619047619048,True,0.9386165338086936,True,Terfenadine
CVCL_0546,plate4,Adenosine,unclear,50,,,False,,,0.6984126984126984,False,0.8435342590168595,True,Aliskiren
CVCL_0546,plate4,Sulfisoxazole,unclear,74,,,False,,,0.8888888888888888,True,0.9057997502463522,True,Terfenadine
CVCL_0546,plate4,Norepinephrine (hydrochloride),Adrenoceptor agonist,62,,,False,,,0.9206349206349206,True,0.9423870791047544,True,Terfenadine
CVCL_0546,plate4,Ciclopirox,unclear,38,,,False,,,0.5238095238095238,False,0.8341679747059165,True,Quinestrol
CVCL_0546,plate4,Demeclocycline,unclear,41,,,False,,,0.4603174603174603,False,0.7966935356046996,True,Aliskiren
CVCL_0546,plate4,Larotrectinib,Other TK inhibitor,35,,,False,,,0.2222222222222222,False,0.8289209271269979,True,Quinestrol
CVCL_0546,plate4,Busulfan,DNA synthesis/repair inhibitor,39,,,False,,,0.4603174603174603,False,0.8388077818040209,True,Tolcapone
CVCL_0546,plate4,Cepharanthine,unclear,52,,,False,,,0.6349206349206349,False,0.8989188808782655,True,Quinestrol
CVCL_0546,plate4,Radotinib,Other TK inhibitor,46,,,False,,,0.746031746031746,False,0.8264383486436071,True,Aliskiren
CVCL_0546,plate4,Triclosan,unclear,32,,,False,,,0.09523809523809523,False,0.7530346891247608,True,Aliskiren
CVCL_0546,plate4,Tucidinostat,HDAC inhibitor,44,,,False,,,0.42857142857142855,False,0.8666884261565282,True,Terfenadine
CVCL_0546,plate4,Bergenin,unclear,52,,,False,,,0.7142857142857143,False,0.8734980212859904,True,Quinestrol
CVCL_0546,plate4,Allantoin,unclear,31,,,False,,,0.25396825396825395,False,0.8134883882329029,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0546,plate4,Bimatoprost,unclear,37,,,False,,,0.30158730158730157,False,0.8558576604071684,True,Almonertinib (hydrochloride)
CVCL_0546,plate4,Triamcinolone,Glucocorticoid receptor agonist,34,,,False,,,0.31746031746031744,False,0.8093346858921929,True,Aliskiren
CVCL_0546,plate4,Olanzapine,unclear,43,,,False,,,0.1746031746031746,False,0.7870281765820316,True,Tolcapone
CVCL_0546,plate4,Rimonabant,unclear,54,,,False,,,0.6984126984126984,False,0.8164633280669507,True,Quinestrol
CVCL_0546,plate4,Pentagastrin,unclear,31,,,False,,,0.1111111111111111,False,0.8015413208233073,True,Quinestrol
CVCL_0546,plate4,Lumateperone (tosylate),unclear,56,,,False,,,0.7619047619047619,False,0.7977449448499564,True,Quinestrol
CVCL_0546,plate4,Relugolix,unclear,40,,,False,,,0.2857142857142857,False,0.8216484397100827,True,Quinestrol
CVCL_0546,plate4,Homoharringtonine,Protein synthesis inhibitor,40,,,False,,,0.5873015873015873,False,0.8484609883837702,True,Aliskiren
CVCL_0546,plate4,Hexylresorcinol,unclear,37,,,False,,,0.3492063492063492,False,0.8191098710953365,True,Terfenadine
CVCL_0546,plate4,Vinblastine (sulfate),Microtubule inhibitor,41,,,False,,,0.5238095238095238,False,0.8424298365214898,True,Quinestrol
CVCL_0546,plate4,Pasireotide (acetate),unclear,38,,,False,,,0.7619047619047619,False,0.9014781226076203,True,Ritonavir
CVCL_0546,plate4,Riluzole hydrochloride,unclear,56,,,False,,,0.8571428571428571,True,0.8567882663005327,True,Quinestrol
CVCL_0546,plate4,Palmatine (chloride),unclear,45,,,False,,,0.8571428571428571,True,0.9476370935891709,True,Terfenadine
CVCL_0546,plate4,Isocorydine,unclear,37,,,False,,,0.12698412698412698,False,0.7633392021781579,True,Aliskiren
CVCL_0546,plate4,Raltitrexed,DNA synthesis/repair inhibitor,41,,,False,,,0.7936507936507936,False,0.9060687287383468,True,Quinestrol
CVCL_0546,plate4,Furosemide,unclear,43,,,False,,,0.31746031746031744,False,0.8526843232535067,True,Quinestrol
CVCL_0546,plate4,Clotrimazole,unclear,37,,,False,,,0.14285714285714285,False,0.8138932385232217,True,Quinestrol
